Date,Closing_Price,Change,Fluctuation_Rate,Opening_Price,High,Low,Volume,Trading_Value,Market_Cap
2023-08-03,2605.39,-11.08,-0.42,2624.76,2625.45,2591.3,789416,14921529.0,2064281827.0
2023-08-04,2602.8,-2.59,-0.1,2606.17,2612.3,2598.38,645750,10971353.0,2061747668.0
2023-08-07,2580.71,-22.09,-0.85,2591.58,2607.36,2580.71,504071,11894471.0,2044894112.0
2023-08-08,2573.98,-6.73,-0.26,2598.29,2601.41,2568.15,638419,12435382.0,2039632194.0
2023-08-09,2605.12,31.14,1.21,2580.6,2608.98,2576.21,467527,10326262.0,2064557283.0
2023-08-10,2601.56,-3.56,-0.14,2592.4,2601.56,2590.02,568155,11349005.0,2061336432.0
2023-08-11,2591.26,-10.3,-0.4,2611.25,2616.84,2589.94,675390,10513466.0,2053371191.0
2023-08-14,2570.87,-20.39,-0.79,2586.51,2592.91,2561.88,624378,9995329.0,2037188540.0
2023-08-16,2525.64,-45.23,-1.76,2550.13,2550.53,2520.87,685136,12025529.0,2001820771.0
2023-08-17,2519.85,-5.79,-0.23,2512.92,2520.56,2482.06,735133,10727642.0,1997270646.0
2023-08-18,2504.5,-15.35,-0.61,2495.18,2519.6,2489.63,557785,10776836.0,1985148457.0
2023-08-21,2508.8,4.3,0.17,2511.7,2524.41,2505.59,399459,8524818.0,1988814382.0
2023-08-22,2515.74,6.94,0.28,2528.39,2533.43,2509.53,471809,9270272.0,1994100741.0
2023-08-23,2505.5,-10.24,-0.41,2510.0,2517.51,2499.89,547170,8577994.0,1986575329.0
2023-08-24,2537.68,32.18,1.28,2531.78,2539.44,2520.73,441140,10099466.0,2012082433.0
2023-08-25,2519.14,-18.54,-0.73,2505.39,2526.37,2502.05,577384,8302851.0,1997701491.0
2023-08-28,2543.41,24.27,0.96,2534.42,2543.41,2525.64,483588,8221906.0,2015825900.0
2023-08-29,2552.16,8.75,0.34,2550.76,2556.98,2545.27,441366,8275017.0,2022518944.0
2023-08-30,2561.22,9.06,0.35,2575.42,2578.62,2561.22,364003,7765445.0,2029672345.0
